cabinet,cabinet_number,cabinet_name,uniqueID,cabinet_from,cabinet_to,cabinet_comment
Reid-McLean Ministry (Free Trade-Protectionist Coalition),1,"McLean, A (PROT)",McLean1840,1904-08-18,1905-07-05,
Reid-McLean Ministry (Free Trade-Protectionist Coalition),1,"Symon, Senator JH (FT)",Symon1846,1904-08-18,1905-07-05,
Reid-McLean Ministry (Free Trade-Protectionist Coalition),1,"Turner, G (PROT)",Turner1851,1904-08-18,1905-07-05,
Reid-McLean Ministry (Free Trade-Protectionist Coalition),1,"Thomson, D (FT)",Thomson1848,1904-08-18,1905-07-05,
Reid-McLean Ministry (Free Trade-Protectionist Coalition),1,"McCay, JW (PROT)",McCay1864,1904-08-18,1905-07-05,
Reid-McLean Ministry (Free Trade-Protectionist Coalition),1,"Smith, S (FT)",Smith1856,1904-08-18,1905-07-05,
Reid-McLean Ministry (Free Trade-Protectionist Coalition),1,"Drake, Senator JG (PROT)",Drake1850,1904-08-18,1905-07-05,
Deakin Ministry (Protectionist),2,"Deakin, A",Deakin1856,1905-07-05,1908-11-13,
Deakin Ministry (Protectionist),2,"Isaacs, IA",Isaacs1855,1905-07-05,1906-10-12,
Deakin Ministry (Protectionist),2,"Groom, LE",Groom1867,1906-10-12,1908-11-13,
Deakin Ministry (Protectionist),2,"Lyne, WJ",Lyne1844,1905-07-05,1907-07-30,
Deakin Ministry (Protectionist),2,"Chapman, A",Chapman1864,1907-07-30,1908-11-13,
Deakin Ministry (Protectionist),2,"Forrest, J",Forrest1847,1905-07-05,1907-07-30,
Deakin Ministry (Protectionist),2,"Lyne, WJ",Lyne1844,1907-07-30,1908-11-13,
Deakin Ministry (Protectionist),2,"Chapman, A",Chapman1864,1905-07-05,1907-07-30,
Deakin Ministry (Protectionist),2,"Mauger, S",Mauger1857,1907-07-30,1908-11-13,
Deakin Ministry (Protectionist),2,"Playford, Senator T",Playford1837,1905-07-05,1907-01-24,
Deakin Ministry (Protectionist),2,"Ewing, TT",Ewing1856,1907-01-24,1908-11-13,
Deakin Ministry (Protectionist),2,"Groom, LE",Groom1867,1905-07-05,1906-10-12,
Deakin Ministry (Protectionist),2,"Ewing, TT",Ewing1856,1906-10-12,1907-01-24,
Deakin Ministry (Protectionist),2,"Keating, Senator JH",Keating1872,1907-01-24,1908-11-13,
Deakin Ministry (Protectionist),2,"Ewing, TT",Ewing1856,1905-07-05,1906-10-12,
Deakin Ministry (Protectionist),2,"Keating, Senator JH",Keating1872,1906-10-12,1907-02-20,
Deakin Ministry (Protectionist),2,"Best, Senator RW",Best1856,1907-02-20,1908-11-13,
Deakin Ministry (Protectionist),2,"Keating, Senator JH",Keating1872,1905-07-05,1906-10-12,
Deakin Ministry (Protectionist),2,"Mauger, S",Mauger1857,1906-10-12,1907-07-30,
Deakin Ministry (Protectionist),2,"Cook, JNHH",HumeCook1866,1908-01-28,1908-11-13,
Fisher Ministry (ALP),1,"Fisher, A",Fisher1862,1908-11-13,1909-06-02,
Fisher Ministry (ALP),1,"Hughes, WM",Hughes1862,1908-11-13,1909-06-02,
Fisher Ministry (ALP),1,"Batchelor, EL",Batchelor1865,1908-11-13,1909-06-02,
Fisher Ministry (ALP),1,"Mahon, H",Mahon1857,1908-11-13,1909-06-02,
Fisher Ministry (ALP),1,"Thomas, J",Thomas1863,1908-11-13,1909-06-02,
Fisher Ministry (ALP),1,"Pearce, Senator GF",Pearce1870,1908-11-13,1909-06-02,
Fisher Ministry (ALP),1,"Tudor, FG",Tudor1866,1908-11-13,1909-06-02,
Fisher Ministry (ALP),1,"McGregor, Senator G",McGregor1848,1908-11-13,1909-06-02,
Fisher Ministry (ALP),1,"Hutchison, J",Hutchison1859,1908-11-13,1909-06-02,
Deakin Ministry (Protectionist-Free Trade-Tariff Reform ('Fusion')),3,"Deakin, A (PROT)",Deakin1856,1909-06-02,1910-04-29,
Deakin Ministry (Protectionist-Free Trade-Tariff Reform ('Fusion')),3,"Cook, J (FT)",Cook1860,1909-06-02,1910-04-29,
Deakin Ministry (Protectionist-Free Trade-Tariff Reform ('Fusion')),3,"Forrest, J (PROT)",Forrest1847,1909-06-02,1910-04-29,
Deakin Ministry (Protectionist-Free Trade-Tariff Reform ('Fusion')),3,"Best, Senator RW (PROT)",Best1856,1909-06-02,1910-04-29,
Deakin Ministry (Protectionist-Free Trade-Tariff Reform ('Fusion')),3,"Groom, LE (PROT)",Groom1867,1909-06-02,1910-04-29,
Deakin Ministry (Protectionist-Free Trade-Tariff Reform ('Fusion')),3,"Glynn, PMcM (FT)",Glynn1855,1909-06-02,1910-04-29,
Deakin Ministry (Protectionist-Free Trade-Tariff Reform ('Fusion')),3,"Quick, J (PROT)",Quick1852,1909-06-02,1910-04-29,
Deakin Ministry (Protectionist-Free Trade-Tariff Reform ('Fusion')),3,"Fuller, GW (FT)",Frydenberg1971,1909-06-02,1910-04-29,
Deakin Ministry (Protectionist-Free Trade-Tariff Reform ('Fusion')),3,"Millen, Senator ED (FT)",Millen1860,1909-06-02,1910-04-29,
Deakin Ministry (Protectionist-Free Trade-Tariff Reform ('Fusion')),3,"Foxton, JFG (FT)",Foxton1849,1909-06-02,1910-04-29,
Fisher Ministry (ALP),2,"Fisher, A",Fisher1862,1910-04-29,1913-06-24,
Fisher Ministry (ALP),2,"Hughes, WM",Hughes1862,1910-04-29,1913-06-24,
Fisher Ministry (ALP),2,"Batchelor, EL",Batchelor1865,1910-04-29,1911-10-08,
Fisher Ministry (ALP),2,"Thomas, J",Thomas1863,1911-10-14,1913-06-24,
Fisher Ministry (ALP),2,"Thomas, J",Thomas1863,1910-04-29,1911-10-14,
Fisher Ministry (ALP),2,"Frazer, CE",Frazer1880,1911-10-14,1913-06-24,
Fisher Ministry (ALP),2,"Pearce, Senator GF",Pearce1870,1910-04-29,1913-06-24,
Fisher Ministry (ALP),2,"Tudor, FG",Tudor1866,1910-04-29,1913-06-24,
Fisher Ministry (ALP),2,"O'Malley, K",OMalley1854,1910-04-29,1913-06-24,
Fisher Ministry (ALP),2,"McGregor, Senator G",McGregor1848,1910-04-29,1913-06-24,
Fisher Ministry (ALP),2,"Findley, Senator E",Findley1864,1910-04-29,1913-06-24,
Fisher Ministry (ALP),2,"Frazer, CE",Frazer1880,1910-04-29,1911-10-14,
Fisher Ministry (ALP),2,"Roberts, EA",Roberts1869,1911-10-23,1913-06-24,
Cook Ministry (LIB),1,"Cook, J",Cook1860,1913-06-24,1914-09-17,
Cook Ministry (LIB),1,"Forrest, J",Forrest1847,1913-06-24,1914-09-17,
Cook Ministry (LIB),1,"Irvine, WH",Irvine1858,1913-06-24,1914-09-17,
Cook Ministry (LIB),1,"Millen, Senator ED",Millen1860,1913-06-24,1914-09-17,
Cook Ministry (LIB),1,"Glynn, PMcM",Glynn1855,1913-06-24,1914-09-17,
Cook Ministry (LIB),1,"Groom, LE",Groom1867,1913-06-24,1914-09-17,
Cook Ministry (LIB),1,"Wynne, A",Wynne1850,1913-06-24,1914-09-17,
Cook Ministry (LIB),1,"McColl, Senator JH",McColl1844,1913-06-24,1914-09-17,
Cook Ministry (LIB),1,"Clemons, Senator JS",Clemons1862,1913-06-24,1914-09-17,
Cook Ministry (LIB),1,"Kelly, WH",Kelly1877,1913-06-24,1914-09-17,
Fisher Ministry (ALP),3,"Fisher, A",Fisher1862,1914-09-17,1915-10-27,
Fisher Ministry (ALP),3,"Hughes, WM",Hughes1862,1914-09-17,1915-10-27,
Fisher Ministry (ALP),3,"Pearce, Senator GF",Pearce1870,1914-09-17,1915-10-27,
Fisher Ministry (ALP),3,"Tudor, FG",Tudor1866,1914-09-17,1915-10-27,
Fisher Ministry (ALP),3,"Arthur, JA",Arthur1875,1914-09-17,1914-12-09,
Fisher Ministry (ALP),3,"Mahon, H",Mahon1857,1914-12-14,1915-10-27,
Fisher Ministry (ALP),3,"Archibald, WO",Archibald1852,1914-09-17,1915-10-27,
Fisher Ministry (ALP),3,"Spence, WG",Spence1846,1914-09-17,1915-10-27,
Fisher Ministry (ALP),3,"Gardiner, Senator A",Gardiner1867,1914-09-17,1915-10-27,
Fisher Ministry (ALP),3,"Jensen, JA",Jensen1865,1915-07-12,1915-10-27,
Fisher Ministry (ALP),3,"Russell, Senator EJ",Russell1878,1914-09-17,1915-10-27,
Fisher Ministry (ALP),3,"Mahon, H",Mahon1857,1914-09-17,1914-12-14,
Fisher Ministry (ALP),3,"Jensen, JA",Jensen1865,1914-09-17,1915-07-12,
Hughes Ministry (ALP),1,"Hughes, WM",Hughes1862,1915-10-27,1916-11-14,
Hughes Ministry (ALP),1,"Hughes, WM",Hughes1862,1915-10-27,1916-11-14,
Hughes Ministry (ALP),1,"Pearce, Senator GF",Pearce1870,1915-10-27,1916-11-14,
Hughes Ministry (ALP),1,"Tudor, FG",Tudor1866,1915-10-27,1916-09-14,
Hughes Ministry (ALP),1,"Hughes, WM",Hughes1862,1916-09-29,1916-11-14,
Hughes Ministry (ALP),1,"Mahon, H",Mahon1857,1915-10-27,1916-11-14,
Hughes Ministry (ALP),1,"Jensen, JA",Jensen1865,1915-10-27,1916-11-14,
Hughes Ministry (ALP),1,"Higgs, WG",Higgs1862,1915-10-27,1916-10-27,
Hughes Ministry (ALP),1,"O'Malley, K",OMalley1854,1915-10-27,1916-11-14,
Hughes Ministry (ALP),1,"Webster, W",Webster1860,1915-10-27,1916-11-14,
Hughes Ministry (ALP),1,"Gardiner, Senator A",Gardiner1867,1915-10-27,1916-10-27,
Hughes Ministry (ALP),1,"Russell, Senator EJ",Russell1878,1915-10-27,1916-10-27,
Hughes Ministry (National Labour),2,"Hughes, WM",Hughes1862,1916-11-14,1917-02-17,
Hughes Ministry (National Labour),2,"Hughes, WM",Hughes1862,1916-11-14,1917-02-17,
Hughes Ministry (National Labour),2,"Pearce, Senator GF",Pearce1870,1916-11-14,1917-02-17,
Hughes Ministry (National Labour),2,"Jensen, JA",Jensen1865,1916-11-14,1917-02-17,
Hughes Ministry (National Labour),2,"Webster, W",Webster1860,1916-11-14,1917-02-17,
Hughes Ministry (National Labour),2,"Poynton, A",Poynton1853,1916-11-14,1917-02-17,
Hughes Ministry (National Labour),2,"Archibald, WO",Archibald1852,1916-11-14,1917-02-17,
Hughes Ministry (National Labour),2,"Bamford, FW",Bamford1849,1916-11-14,1917-02-17,
Hughes Ministry (National Labour),2,"Lynch, Senator PJ",Lynch1867,1916-11-14,1917-02-17,
Hughes Ministry (National Labour),2,"Spence, WG",Spence1846,1916-11-14,1917-02-17,
Hughes Ministry (National Labour),2,"Russell, Senator EJ",Russell1878,1916-11-14,1917-02-17,
Hughes Ministry (National Labour),2,"Smith, WHL",SmithWilliam1869,1916-11-14,1917-02-17,
Hughes Ministry (Nationalist),3,"Hughes, WM",Hughes1862,1917-02-17,1918-01-10,
Hughes Ministry (Nationalist),3,"Hughes, WM",Hughes1862,1917-02-17,1918-01-10,
Hughes Ministry (Nationalist),3,"Cook, J",Cook1860,1917-02-17,1918-01-10,
Hughes Ministry (Nationalist),3,"Forrest, J",Forrest1847,1917-02-17,1918-01-10,
Hughes Ministry (Nationalist),3,"Pearce, Senator GF",Pearce1870,1917-02-17,1918-01-10,
Hughes Ministry (Nationalist),3,"Millen, Senator ED",Millen1860,1917-02-17,1917-11-16,
Hughes Ministry (Nationalist),3,"Groom, LE",Groom1867,1917-11-16,1918-01-10,
Hughes Ministry (Nationalist),3,"Millen, Senator ED",Millen1860,1917-09-28,1918-01-10,
Hughes Ministry (Nationalist),3,"Watt, WA",Watt1871,1917-02-17,1918-01-10,
Hughes Ministry (Nationalist),3,"Glynn, PMcM",Glynn1855,1917-02-17,1918-01-10,
Hughes Ministry (Nationalist),3,"Jensen, JA",Jensen1865,1917-02-17,1918-01-10,
Hughes Ministry (Nationalist),3,"Webster, W",Webster1860,1917-02-17,1918-01-10,
Hughes Ministry (Nationalist),3,"Russell, Senator EJ",Russell1878,1917-02-17,1918-01-10,
Hughes Ministry (Nationalist),3,"Groom, LE",Groom1867,1917-02-17,1917-11-16,
Hughes Ministry (Nationalist),4,"Hughes, WM",Hughes1862,1918-01-10,1923-02-09,
Hughes Ministry (Nationalist),4,"Hughes, WM",Hughes1862,1918-01-10,1921-12-21,
Hughes Ministry (Nationalist),4,"Groom, LE",Groom1867,1921-12-21,1923-02-09,
Hughes Ministry (Nationalist),4,"Hughes, WM",Hughes1862,1921-12-21,1923-02-09,
Hughes Ministry (Nationalist),4,"Cook, J",Cook1860,1918-01-10,1920-07-28,
Hughes Ministry (Nationalist),4,"Smith, WHL",SmithWilliam1869,1920-07-28,1921-12-21,
Hughes Ministry (Nationalist),4,"Forrest, J",Forrest1847,1918-01-10,1918-03-27,
Hughes Ministry (Nationalist),4,"Watt, WA",Watt1871,1918-03-27,1920-06-15,
Hughes Ministry (Nationalist),4,"Cook, J",Cook1860,1920-07-28,1921-11-11,
Hughes Ministry (Nationalist),4,"Bruce, SM",Bruce1883,1921-12-21,1923-02-09,
Hughes Ministry (Nationalist),4,"Pearce, Senator GF",Pearce1870,1918-01-10,1921-12-21,
Hughes Ministry (Nationalist),4,"Millen, Senator ED",Millen1860,1918-01-10,1923-02-09,
Hughes Ministry (Nationalist),4,"Watt, WA",Watt1871,1918-01-10,1918-03-27,
Hughes Ministry (Nationalist),4,"Groom, LE",Groom1867,1918-03-27,1921-12-21,
Hughes Ministry (Nationalist),4,"Foster, RW",Foster1856,1921-12-21,1923-02-09,
Hughes Ministry (Nationalist),4,"Glynn, PMcM",Glynn1855,1918-01-10,1920-02-03,
Hughes Ministry (Nationalist),4,"Poynton, A",Poynton1853,1920-02-04,1921-12-21,
Hughes Ministry (Nationalist),4,"Pearce, Senator GF",Pearce1870,1921-12-21,1923-02-09,
Hughes Ministry (Nationalist),4,"Jensen, JA",Jensen1865,1918-01-10,1918-12-13,
Hughes Ministry (Nationalist),4,"Watt, WA",Watt1871,1918-12-13,1919-01-17,
Hughes Ministry (Nationalist),4,"Massy-Greene, W",MassyGreene1874,1919-01-17,1921-12-21,
Hughes Ministry (Nationalist),4,"Rodgers, AS",Rodgers1875,1921-12-21,1923-02-05,
Hughes Ministry (Nationalist),4,"Webster, W",Webster1860,1918-01-10,1920-02-03,
Hughes Ministry (Nationalist),4,"Wise, GH",Wise1853,1920-02-04,1921-12-21,
Hughes Ministry (Nationalist),4,"Poynton, A",Poynton1853,1921-12-21,1923-02-05,
Hughes Ministry (Nationalist),4,"Massy-Greene, W",MassyGreene1874,1921-03-10,1923-02-05,
Hughes Ministry (Nationalist),4,"Groom, LE",Groom1867,1918-01-10,1918-03-27,
Hughes Ministry (Nationalist),4,"Russell, Senator EJ",Russell1878,1918-03-27,1921-12-21,
Hughes Ministry (Nationalist),4,"Earle, Senator J",Earle1865,1921-12-21,1923-02-05,
Hughes Ministry (Nationalist),4,"Groom, LE",Groom1867,1918-01-10,1917-11-16,
Hughes Ministry (Nationalist),4,"Russell, Senator EJ",Russell1878,1918-01-10,1919-01-17,
Hughes Ministry (Nationalist),4,"Massy-Greene, W",MassyGreene1874,1918-03-27,1919-01-17,
Hughes Ministry (Nationalist),4,"Orchard, RB",Orchard1871,1918-03-27,1919-01-31,
Hughes Ministry (Nationalist),4,"Poynton, A",Poynton1853,1918-03-27,1920-02-04,
Hughes Ministry (Nationalist),4,"Wise, GH",Wise1853,1918-03-27,1920-02-04,
Hughes Ministry (Nationalist),4,"Smith, WHL",SmithWilliam1869,1920-02-04,1920-07-28,
Hughes Ministry (Nationalist),4,"Massy-Greene, W",MassyGreene1874,1921-12-21,1923-02-05,
Hughes Ministry (Nationalist),4,"Ryrie, GdeL",Ryrie1865,1920-02-04,1921-12-21,
Hughes Ministry (Nationalist),4,"Rodgers, AS",Rodgers1875,1920-07-28,1921-12-21,
Hughes Ministry (Nationalist),4,"Lamond, H",Lamond1865,1921-12-21,1923-02-09,
Bruce-Page Ministry (Nationalist-CP Coalition),1,"Bruce, SM",Bruce1883,1923-02-09,1929-10-22,
Bruce-Page Ministry (Nationalist-CP Coalition),1,"Page, ECG (CP)",Page1880,1923-02-09,1929-10-22,
Bruce-Page Ministry (Nationalist-CP Coalition),1,"Pearce, Senator GF",Pearce1870,1923-02-09,1926-06-18,
Bruce-Page Ministry (Nationalist-CP Coalition),1,"Glasgow, Senator TW",Glasgow1876,1926-06-18,1927-04-02,
Bruce-Page Ministry (Nationalist-CP Coalition),1,"Marr, CWC",Marr1880,1927-04-02,1928-02-24,
Bruce-Page Ministry (Nationalist-CP Coalition),1,"Howse, NR",Howse1863,1928-02-24,1928-11-29,
Bruce-Page Ministry (Nationalist-CP Coalition),1,"Abbott, CLA (CP)",Abbott1886,1928-11-29,1928-12-10,
Bruce-Page Ministry (Nationalist-CP Coalition),1,"Abbott, CLA (CP)",Abbott1886,1928-12-10,1929-10-22,
Bruce-Page Ministry (Nationalist-CP Coalition),1,"Groom, LE",Groom1867,1923-02-09,1925-12-18,
Bruce-Page Ministry (Nationalist-CP Coalition),1,"Latham, JG",Latham1877,1925-12-18,1929-10-22,
Bruce-Page Ministry (Nationalist-CP Coalition),1,"Latham, JG",Latham1877,1928-12-10,1929-10-22,
Bruce-Page Ministry (Nationalist-CP Coalition),1,"Gibson, WG (CP)",Gibson1869,1923-02-09,1929-10-22,
Bruce-Page Ministry (Nationalist-CP Coalition),1,"Chapman, A",Chapman1864,1923-02-09,1924-05-26,
Bruce-Page Ministry (Nationalist-CP Coalition),1,"Groom, LE",Groom1867,1924-05-29,1924-06-13,
Bruce-Page Ministry (Nationalist-CP Coalition),1,"Pratten, HE",Pratten1865,1924-06-13,1928-05-07,
Bruce-Page Ministry (Nationalist-CP Coalition),1,"Bruce, SM",Bruce1883,1928-05-08,1928-11-24,
Bruce-Page Ministry (Nationalist-CP Coalition),1,"Gullett, HS",Gullett1878,1928-11-24,1929-10-22,
Bruce-Page Ministry (Nationalist-CP Coalition),1,"Stewart, PG (CP)",Stewart1885,1923-02-09,1924-08-05,
Bruce-Page Ministry (Nationalist-CP Coalition),1,"Hill, WC (CP)",Hill1866,1924-08-08,1928-11-29,
Bruce-Page Ministry (Nationalist-CP Coalition),1,"Gibson, WG (CP)",Gibson1869,1928-12-10,1929-10-22,
Bruce-Page Ministry (Nationalist-CP Coalition),1,"Bowden, EK",Bowden1871,1923-02-09,1925-01-16,
Bruce-Page Ministry (Nationalist-CP Coalition),1,"Howse, NR",Howse1863,1925-01-16,1927-04-02,
Bruce-Page Ministry (Nationalist-CP Coalition),1,"Glasgow, Senator TW",Glasgow1876,1927-04-02,1929-10-22,
Bruce-Page Ministry (Nationalist-CP Coalition),1,"Pratten, HE",Pratten1865,1924-06-13,1925-01-16,
Bruce-Page Ministry (Nationalist-CP Coalition),1,"Bruce, SM",Bruce1883,1927-04-02,1928-02-24,
Bruce-Page Ministry (Nationalist-CP Coalition),1,"Howse, NR",Howse1863,1928-02-24,1929-10-22,
Bruce-Page Ministry (Nationalist-CP Coalition),1,"Wilson, Senator RV",Wilson1877,1925-01-16,1926-06-18,
Bruce-Page Ministry (Nationalist-CP Coalition),1,"Paterson, T (CP)",Paterson1882,1926-06-18,1928-01-19,
Bruce-Page Ministry (Nationalist-CP Coalition),1,"Paterson, T (CP)",Paterson1882,1928-01-19,1928-12-10,
Bruce-Page Ministry (Nationalist-CP Coalition),1,"Paterson, T (CP)",Paterson1882,1928-12-10,1929-10-22,
Bruce-Page Ministry (Nationalist-CP Coalition),1,"Atkinson, L",Atkinson1867,1923-02-09,1926-06-18,
Bruce-Page Ministry (Nationalist-CP Coalition),1,"Pearce, Senator GF",Pearce1870,1926-06-18,1929-10-22,
Bruce-Page Ministry (Nationalist-CP Coalition),1,"Wilson, Senator RV",Wilson1877,1923-02-09,1925-01-16,
Bruce-Page Ministry (Nationalist-CP Coalition),1,"Crawford, Senator TW",Crawford1865,1923-02-14,1928-11-29,
Bruce-Page Ministry (Nationalist-CP Coalition),1,"Marr, CWC",Marr1880,1925-01-16,1927-04-02,
Bruce-Page Ministry (Nationalist-CP Coalition),1,"McLachlan, Senator AJ",McLachlan1872,1926-08-29,1929-10-22,
Bruce-Page Ministry (Nationalist-CP Coalition),1,"Howse, NR",Howse1863,1927-04-02,1928-02-24,
Bruce-Page Ministry (Nationalist-CP Coalition),1,"Marr, CWC",Marr1880,1928-02-24,1929-10-22,
Bruce-Page Ministry (Nationalist-CP Coalition),1,"Ogden, Senator JE",Ogden1868,1928-11-29,1929-10-22,
Scullin Ministry (ALP),1,"Scullin, JH",Scullin1876,1929-10-22,1932-01-06,
Scullin Ministry (ALP),1,"Theodore, EG",Theodore1884,1929-10-22,1930-07-09,
Scullin Ministry (ALP),1,"Scullin, JH",Scullin1876,1930-07-09,1931-01-29,
Scullin Ministry (ALP),1,"Theodore, EG",Theodore1884,1931-01-29,1932-01-06,
Scullin Ministry (ALP),1,"Daly, Senator JJ",Daly1891,1929-10-22,1931-03-03,
Scullin Ministry (ALP),1,"Barnes, Senator J",Barnes1868,1931-03-03,1932-01-06,
Scullin Ministry (ALP),1,"Brennan, F",Brennan1873,1929-10-22,1932-01-06,
Scullin Ministry (ALP),1,"Lyons, JA",Lyons1879,1929-10-22,1931-02-04,
Scullin Ministry (ALP),1,"Green, AE",Green1869,1931-02-04,1932-01-06,
Scullin Ministry (ALP),1,"Fenton, JE",Fenton1864,1929-10-22,1931-02-04,
Scullin Ministry (ALP),1,"Forde, FM",Forde1890,1931-02-04,1932-01-06,
Scullin Ministry (ALP),1,"Blakeley, A",Blakeley1886,1929-10-22,1932-01-06,
Scullin Ministry (ALP),1,"Anstey, F",Anstey1865,1929-10-22,1931-03-03,
Scullin Ministry (ALP),1,"McNeill, J",McNeill1868,1931-03-03,1932-01-06,
Scullin Ministry (ALP),1,"Green, AE",Green1869,1929-10-22,1931-02-04,
Scullin Ministry (ALP),1,"Daly, Senator JJ",Daly1891,1931-02-04,1931-03-03,
Scullin Ministry (ALP),1,"Chifley, JB",Chifley1885,1931-03-03,1932-01-06,
Scullin Ministry (ALP),1,"Moloney, PJ",Moloney1876,1929-10-22,1930-04-21,
Scullin Ministry (ALP),1,"Moloney, PJ",Moloney1876,1930-04-21,1932-01-06,
Scullin Ministry (ALP),1,"Beasley, JA",Beasley1895,1929-10-22,1931-03-03,
Scullin Ministry (ALP),1,"Holloway, EJ",Holloway1875,1931-03-03,1931-06-12,
Scullin Ministry (ALP),1,"Barnes, Senator J",Barnes1868,1929-10-22,1931-03-03,
Scullin Ministry (ALP),1,"Dooley, Senator JB",Dooley1884,1931-03-03,1932-01-06,
Scullin Ministry (ALP),1,"Forde, FM",Forde1890,1929-10-22,1931-02-04,
Scullin Ministry (ALP),1,"Culley, CE",Culley1877,1931-03-03,1931-06-24,
Scullin Ministry (ALP),1,"Daly, Senator JJ",Daly1891,1931-06-26,1932-01-06,
Scullin Ministry (ALP),1,"Cunningham, LL",Cunningham1889,1931-06-26,1932-01-06,
Lyons Ministry (UAP),1,"Lyons, JA",Lyons1879,1932-01-06,1938-11-07,
Lyons Ministry (UAP),,"Lyons, JA",Lyons1879,1932-01-06,1935-10-03,
Lyons Ministry (UAP),,"Casey, RG",Casey1890,1935-10-03,1938-11-07,
Lyons Ministry (UAP),,"Latham, JG",Latham1877,1932-01-06,1934-10-12,
Lyons Ministry (UAP),,"Menzies, RG",Menzies1894,1934-10-12,1938-11-07,
Lyons Ministry (UAP),,"Pearce, Senator GF",Pearce1870,1934-10-12,1937-11-29,
Lyons Ministry (UAP),,"Hughes, WM",Hughes1862,1937-11-29,1938-11-07,
Lyons Ministry (UAP),,"Pearce, Senator GF",Pearce1870,1932-01-06,1934-10-12,
Lyons Ministry (UAP),,"Parkhill, RA",Parkhill1879,1934-10-12,1937-11-20,
Lyons Ministry (UAP),,"Lyons, JA",Lyons1879,1937-11-20,1937-11-29,
Lyons Ministry (UAP),,"Thorby, HVC (CP)",Thorby1888,1937-11-29,1938-11-07,
Lyons Ministry (UAP),,"Gullett, HS",Gullett1878,1932-01-06,1933-01-14,
Lyons Ministry (UAP),,"White, TW",White1888,1933-01-14,1938-11-07,
Lyons Ministry (UAP),,"Fenton, JE",Fenton1864,1932-01-06,1932-10-13,
Lyons Ministry (UAP),,"Parkhill, RA",Parkhill1879,1932-10-13,1934-10-12,
Lyons Ministry (UAP),,"McLachlan, Senator AJ",McLachlan1872,1934-10-12,1938-11-07,
Lyons Ministry (UAP),,"Parkhill, RA",Parkhill1879,1932-01-06,1938-11-07,
Lyons Ministry (UAP),,"Parkhill, RA",Parkhill1879,1932-01-06,1932-04-12,
Lyons Ministry (UAP),,"Marr, CWC",Marr1880,1932-01-06,1932-04-12,
