unique_ID,hansardID,surname,allOtherNames,firstName,commonName,displayName,earlierOrLaterNames,title,gender,birthDate,birthYear,deathDate,comments,wikipedia,adb
Arthur1918,JMC,Arthur,William Tevlin,William,,,,,male,1918-04-16,,1982-02-28,,,
AshleyBrown1915,JME,Ashley-Brown,Alfred,Alfred,,,,,male,1915-10-05,,1993-02-05,,,
Aston1916,JMF,Aston,William John,William,,,Later Sir William,,male,1916-09-19,,1997-05-21,,,
Atkinson1867,JMG,Atkinson,Llewellyn,Llewellyn,,,,,male,1867-12-18,,1945-11-01,,,
Atkinson1948,JMI,Atkinson,Rodney Alexander,Rodney,,,,,male,1948-08-07,,,,,
Badman1885,JNM,Badman,Albert Oliver,Albert,,,,,male,1885-12-18,,1977-04-24,,,
Bailey1946,JT4,Bailey,Frances Esther,Frances,Fran,,,,female,1946-05-21,,,,,
Baillieu1937,JNO,Baillieu,Marshall,Marshall,,,,,male,1937-06-06,,,,,
Baird1942,MP6,Baird,Bruce George,Bruce,,,,,male,1942-02-28,,,,,
Baker1903,JNP,Baker,Francis Matthew John,Francis,Francis Matthew,,,,male,,1903,1939-03-28,,,
Baker1873,JNR,Baker,Francis Patrick,Francis,Francis Patrick,,,,male,1873-05-30,,1959-06-02,,https://en.wikipedia.org/wiki/Francis_Patrick_Baker,
Baker1958,DYK,Baker,Mark Horden,Mark,,,,,male,1958-12-31,,,,,
Baldwin1951,MD4,Baldwin,Peter Jeremy,Peter,,,,,male,1951-04-12,,,,,
Baldwin1955,LL6,Baldwin,Robert Charles,Robert,Bob,,,,male,1955-03-09,,,,https://en.wikipedia.org/wiki/Bob_Baldwin,
Bamford1849,JNV,Bamford,Frederick William,Frederick,,,,,male,1849-02-11,,1934-09-10,,,
Bandidt1906,JNZ,Bandidt,Henry Norman Charles,Henry,,,,,male,1906-10-12,,1990-01-06,,,
Bandt1972,M3C,Bandt,Adam Paul,Adam,,,,,male,1972-03-11,,,,,
Banks1962,18661,Banks,Julia Helen,Julia,,,,,female,1962-09-18,,,,https://en.wikipedia.org/wiki/Julia_Banks,
Barnard1890,JNX,Barnard,Herbert Claude,Herbert,,,,,male,1890-10-16,,1957-12-06,,,
Barnard1919,JO8,Barnard,Lance Herbert,Lance,,,,,male,1919-05-01,,1997-08-06,,,
Barnes1901,JOA,Barnes,Charles Edward,Charles,,,,,male,1901-11-13,,1998-10-24,,,
Barresi1955,ZJ6,Barresi,Phillip Anthony,Phillip,,,,,male,1955-08-08,,,,,
Bartlett1949,0K6,Bartlett,Kerry Joseph,Kerry,,,,,male,1949-04-15,,,,https://en.wikipedia.org/wiki/Kerry_Bartlett,
Barton1849,009LR,Barton,Edmund,Edmund,,,Later Sir Edmund,,male,1849-01-18,,1920-01-07,,,
Barwick1903,126,Barwick,Garfield Edward John,Garfield,,,,Sir,male,1903-06-22,,1997-07-13,,,
Batchelor1865,JOC,Batchelor,Egerton Lee,Egerton,,,,,male,1865-04-10,,1911-10-08,,,
Bate1906,JOE,Bate,Henry Jefferson,Henry,Jeff,,,,male,1906-03-05,,1984-04-15,,https://en.wikipedia.org/wiki/Jeff_Bate,
Baume1930,LE4,Baume,Michael Ehrenfried,Michael,,,,,male,1930-07-06,,,,https://en.wikipedia.org/wiki/Michael_Baume,
Bayley1882,JOG,Bayley,James Garfield,James,,,,,male,1882-03-26,,1968-01-14,,,
Beale1934,OE4,Beale,Julian Howard,Julian,,,,,male,1934-10-10,,,,,
Beale1898,JOI,Beale,Oliver Howard,Oliver,,,,,male,1898-12-10,,1983-10-17,,,
Beard1864,JOK,Beard,Henry Elisha,Henry,,,,,male,1866-01-20,,1910-12-18,https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1011,,
Beasley1895,JOM,Beasley,John Albert,John,,,,,male,1895-11-09,,1949-09-02,,,
Beaton1925,JOO,Beaton,Noel Lawrence,Noel,,,,,male,1925-12-28,,2004-12-18,,,
Beazley1948,PE4,Beazley,Kim Christian,Kim,,,,,male,1948-12-14,,,,,
Beazley1917,JF7,Beazley,Kim Edward,Kim,,,,,male,1917-09-30,,2007-10-12,,,
Beck1882,JOQ,Beck,Arthur James,Arthur,,,,,male,1882-07-08,,1965-11-28,,,
Beddall1948,QE4,Beddall,David Peter,David,,,,,male,1948-11-27,,,,,
Bell1872,JOS,Bell,George John,George,,,Later Sir George,,male,1872-11-29,,1944-03-05,,,
Bennett1933,JOU,Bennett,Adrian Frank,Adrian,,,,,male,1933-01-21,,2006-05-09,,,
Bennett1872,JOW,Bennett,Benjamin Holland,Benjamin,,,,,male,,1872,1939-07-12,,,
Bennett1874,JOY,Bennett,James,James,,,,,male,,1874,1951-11-23,,,
Benson1909,JP5,Benson,Samuel James,Samuel,,,,,male,1909-07-12,,1995-07-26,,,
Berinson1932,JP8,Berinson,Joseph Max,Joseph,Joe,,,,male,1932-01-07,,,,,
Berry1907,JPA,Berry,Douglas Reginald,Douglas,,,,,male,1907-05-03,,1957-04-17,,,
Best1856,JPC,Best,Robert Wallace,Robert,,,,Sir,male,1856-06-18,,1946-03-27,,,
Bevis1955,ET4,Bevis,Archibald Ronald,Archibald,,,,,male,1955-04-10,,,,,
Bidgood1959,HVM,Bidgood,James Mark,James,,,,,male,1959-05-26,,,,,
Billson1966,1K6,Billson,Bruce Fredrick,Bruce,,,,,male,1966-01-26,,,,,
Bilney1939,RE4,Bilney,Gordon Neil,Gordon,,,,,male,1939-06-21,,2012-10-28,,,
Bird1906,JPE,Bird,Alan Charles,Alan,,,,,male,1906-09-28,,1962-07-21,,,
Bird1962,DZP,Bird,Sharon Leah,Sharon,,,,,female,1962-11-15,,,,,
Birney1928,JPG,Birney,Reginald John,Reginald,,,,,male,1928-09-26,,1995-01-01,,,
Birrell1913,JPJ,Birrell,Frederick Ronald,Frederick,,,,,male,1913-12-07,,1985-07-23,,,
Bishop1942,SE4,Bishop,Bronwyn Kathleen,Bronwyn,,,,,female,1942-10-19,,,,,
Bishop1956,83P,Bishop,Julie Isabel,Julie,,,,,female,1956-07-17,,,,,
Blackburn1889,JPL,Blackburn,Doris Amelia,Doris,,,,,female,1889-09-18,,1970-12-12,,,
Blackburn1880,JPN,Blackburn,Maurice McCrae,Maurice,,,,,male,1880-11-19,,1944-03-31,,,
Blacklow1879,JPP,Blacklow,Archibald Clifford,Archibald,,,,,male,1879-10-11,,1965-04-04,,,
Blackwood1861,JPR,Blackwood,Robert Officer,Robert,,,,,male,1861-06-20,,1940-09-22,Election declared void. Contested by-election 18.5.1904 but was defeated.,,
Blain1894,JPT,Blain,Adair Macalister,Adair,,,,,male,1894-11-21,,1983-04-28,,,
Blakeley1886,JPV,Blakeley,Arthur,Arthur,,,,,male,1886-07-03,,1972-06-27,,,
Blanchard1929,UE4,Blanchard,Cecil Allen,Cecil,,,,,male,1929-04-17,,2008-10-25,,,
Bland1882,JQ7,Bland,Francis Armand,Francis,,,,,male,1882-08-24,,1967-04-09,,,
Blewett1933,VE4,Blewett,Neal,Neal,,,,,male,1933-10-24,,,,,
Blundell1873,JQ9,Blundell,Reginald Pole,Reginald,,,,,male,1873-02-04,,1945-08-09,,,
Blunt1951,WE4,Blunt,Charles William,Charles,,,,,male,1951-01-19,,,,,
Bonnett1916,JQB,Bonnett,Robert Noel,Robert,,,,,male,1916-09-01,,1992-04-21,,,
Bonython1848,JR7,Bonython,John Langdon,John,,,,Sir,male,1848-10-15,,1939-10-22,,,
Bosman1924,JR9,Bosman,Leonard Lewis,Leonard,,,,,male,1924-02-05,,2017-02-06,,,
Bostock1892,JRB,Bostock,William Dowling,William,,,,,male,1892-02-05,,1968-04-28,,,
Bourchier1929,JRD,Bourchier,John William,John,,,,,male,1929-10-12,,2017-08-31,,https://en.wikipedia.org/wiki/John_Bourchier_(politician),
Bourke1913,JRF,Bourke,William Meskill,William,,,,,male,1913-06-02,,1981-05-22,,,
Bowden1872,JRH,Bowden,Eric Kendall,Eric,,,,,male,1872-09-30,,1931-02-13,,,
Bowden1888,JRJ,Bowden,George James,George,,,,,male,1888-03-17,,1962-06-08,,,
Bowen1973,DZS,Bowen,Christopher Eyles,Christopher,,,,,male,1973-01-17,,,,,
Bowen1922,ZE4,Bowen,Lionel Frost,Lionel,,,,,male,1922-12-28,,2012-04-01,,,
Bowen1911,JRN,Bowen,Nigel Hubert,Nigel,,,,,male,1911-05-26,,1994-09-27,,,
Boyd1867,JRP,Boyd,James Arthur,James,,,,,male,1867-07-07,,1941-04-12,,,
Bradbury1976,HVW,Bradbury,David John,David,,,,,male,1976-02-28,,,,,
Braddon1829,JRR,Braddon,Edward Nicholas Coventry,Edward,,,,Sir,male,1829-06-11,,1904-02-02,,,
Bradfield1933,JRU,Bradfield,James Mark,James,,,,,male,1933-07-30,,1989-11-19,,,
Bradford1946,FT4,Bradford,John Walter,John,,,,,male,1946-01-03,,,,,
Braithwaite1933,0F4,Braithwaite,Raymond Allen,Raymond,Ray,,,,male,1933-12-06,,,,,
Brand1888,JS7,Brand,William Alfred,William,,,,,male,1888-08-22,,1979-10-26,,,
Breen1898,JS9,Breen,John Patrick,John,,,,,male,,1898,1966-02-05,,,
Brennan1873,JSC,Brennan,Frank,Frank,,,,,male,,1873,1950-11-06,,,
Brereton1946,5T4,Brereton,Laurence John,Laurence,,,,,male,1946-05-29,,,,,
Bridges-Maxwell1929,JSE,Bridges-Maxwell,Crawford William,Crawford,,,,,male,1929-09-27,,1992-04-15,,,
Briggs1977,IYU,Briggs,Jamie Edward,Jamie,,,,,male,1977-06-09,,,,,
Brimblecombe1898,JSG,Brimblecombe,Wilfred John,Wilfred,,,,,male,1898-02-06,,1973-09-14,,,
Broad1975,30379,Broad,Andrew John,Andrew,,,,,male,1975-07-02,,,,,
Broadbent1950,MT4,Broadbent,Russell Evan,Russell,,,,,male,1950-12-25,,,,,
Brodtmann1963,30540,Brodtmann,Gai Marie,Gai,,,,,female,1963-11-24,,,,,
Brough1961,2K6,Brough,Malcolm Thomas,Malcolm,,,,,male,1961-12-29,,,,,
Brown1894,JSI,Brown,Geoffrey William,Geoffrey,,,,,male,1894-04-25,,1955-10-14,,,
Brown1931,OD4,Brown,John Joseph,John,,,,,male,1931-12-19,,,,,
Brown1843,JSK,Brown,Joseph Tilley,Joseph,,,,,male,,1843,1925-09-28,,,
Brown1940,PD4,Brown,Neil Anthony,Neil,,,,,male,1940-02-22,,,,,
Brown1933,5A5,Brown,Robert James,Robert,Bob,,,,male,1933-12-02,,,,,
Brown1861,JSM,Brown,Thomas,Thomas,,,,,male,1861-10-06,,1934-03-23,,,
Brownbill1914,JSO,Brownbill,Kay Cathrine Millin,Kay,,,,,female,1914-07-21,,2002-02-03,,https://en.wikipedia.org/wiki/Kay_Brownbill,
Browne1924,JSQ,Browne,Peter Grahame,Peter,,,,,male,1924-07-15,,2000-09-11,,,
Bruce1884,JSS,Bruce,Henry Adam,Henry,,,,,male,1884-05-16,,1958-10-11,,,
Bruce1883,F4B,Bruce,Stanley Melbourne,Stanley,,,,,male,1883-04-15,,1967-08-25,,,
Brumby1953,1F4,Brumby,John Mansfield,John,,,,,male,1953-04-21,,,,,
Bryant1914,JSU,Bryant,Gordon Munro,Gordon,,,,,male,1914-08-03,,1991-01-14,,,
Bryson1898,JSW,Bryson,William George,William,,,,,male,1898-02-24,,1973-03-02,,,
Buchanan1905,JSY,Buchanan,Alexander Andrew,Alexander,,,,,male,1905-10-04,,1985-09-10,,,
Buchholz1968,230531,Buchholz,Scott Andrew,Scott,,,,,male,1968-03-27,,,,,
Bungey1934,JT9,Bungey,Melville Harold,Melville,,,,,male,1934-08-30,,,,,
Burchell1883,JTC,Burchell,Reginald John,Reginald,,,,,male,1883-05-20,,1955-06-20,,,
Burke1966,83S,Burke,Anna Elizabeth,Anna,,,,,female,1966-01-01,,,,,
Burke1969,DYW,Burke,Anthony Stephen,Anthony,,,,,male,1969-11-04,,,,,
Burke1910,JTF,Burke,Thomas Patrick,Thomas,,,,,male,1910-08-28,,1973-01-17,,,
Burney1957,8GH,Burney,Linda Jean,Linda,,,,,female,1957-04-25,,,,,
Burns1869,JTI,Burns,George Mason,George,,,,,male,1869-04-19,,1932-08-15,,,
Burns1933,JTM,Burns,William George,William,,,,,male,1933-10-22,,2009-03-16,,,
Burr1939,3F4,Burr,Maxwell Arthur,Maxwell,Max,,,,male,1939-01-09,,,,,
Bury1913,JTP,Bury,Leslie Harry Ernest,Leslie,,,,,male,1913-02-25,,1986-09-07,,,
Butler1970,HWK,Butler,Mark Christopher,Mark,,,,,male,1970-07-08,,,,,
Butler1977,248006,Butler,Terri Megan,Terri,,,,,female,1977-11-28,,,,,
Byrne1962,008K0,Byrne,Anthony Michael,Anthony,,,,,male,1962-12-01,,,,,
Cadman1937,SD4,Cadman,Alan Glyndwr,Alan,,,,,male,1937-07-26,,,,,
Cairns1914,1V4,Cairns,James Ford,James,Jim,,,,male,1914-10-04,,2003-10-12,,,
Cairns1929,JTS,Cairns,Kevin Michael,Kevin,,,,,male,1929-05-15,,1984-07-06,,,
Calder1916,JTW,Calder,Stephen Edward,Stephen,,,,,male,1916-08-10,,2008-09-30,,,
Calwell1896,BV8,Calwell,Arthur Augustus,Arthur,,,,,male,1896-08-28,,1973-07-08,,,
Cameron1895,JTY,Cameron,Archie Galbraith,Archie,,,,,male,1895-03-22,,1956-08-09,,,
Cameron1913,2V4,Cameron,Clyde Robert,Clyde,,,,,male,1913-02-11,,2008-03-14,,,
Cameron1900,JU8,Cameron,Donald Alastair,Donald,Donald Alastair,,,,male,1900-03-17,,1974-01-05,,,
Cameron1879,JUB,Cameron,Donald Charles,Donald,Donald Charles,,Later Sir Donald,,male,,1879,1960-11-19,,,
Cameron1917,JUF,Cameron,Donald James,Donald,Donald James,,,,male,1917-10-15,,1964-06-22,,,
Cameron1940,9F4,Cameron,Donald Milner,Donald,Donald Milner,,,,male,1940-02-06,,,,,
Cameron1851,JUJ,Cameron,Donald Norman,Donald,Donald Norman,,,,male,1851-11-03,,1931-02-17,,,
Cameron1951,6V5,Cameron,Eoin Harrap,Eoin,,,,,male,1951-01-04,,2016-06-23,,,
Cameron1930,AF4,Cameron,Ewen Colin,Ewen,,,,,male,1930-01-12,,,,,
Cameron1938,BF4,Cameron,Ian Milne Dixon,Ian,,,,,male,1938-03-08,,,,,
Cameron1873,JVZ,Cameron,Malcolm Duncan,Malcolm,,,,,male,1873-07-12,,1935-03-01,,,
Cameron1965,3K6,Cameron,Ross Alexander,Ross,,,,,male,1965-05-14,,,,,
Campbell1939,CF4,Campbell,Graeme,Graeme,,,,,male,1939-08-13,,,,,
Campbell1972,HWC,Campbell,Jodie Louise,Jodie,,,,,female,1972-01-18,,,,,
Cann1871,JW6,Cann,George,George,,,,,male,1871-05-29,,1948-10-18,,,
Carige1938,JW8,Carige,Colin Lawrence,Colin,,,,,male,1938-07-19,,2002-05-14,,,
Carlton1935,DF4,Carlton,James Joseph,James,Jim,,,,male,1935-05-13,,2015-12-25,,,
Carpenter1863,JWA,Carpenter,William Henry,William,,,,,male,1863-04-05,,1930-09-11,,,
Carr1875,JWC,Carr,Ernest Shoobridge,Ernest,,,,,male,,1875,1956-09-17,,,
Casey1890,JWE,Casey,Richard Gardiner,Richard,,,,,male,1890-08-29,,1976-06-17,,,
Cash1919,JWK,Cash,Earl Douglas,Earl,,,,,male,1919-07-15,,2002-02-15,,,
Cass1927,JNG,Cass,Moses Henry,Moses,Moss,,,Dr,male,1927-02-18,,,,https://en.wikipedia.org/wiki/Moss_Cass,
Catley1942,NT4,Catley,Robert,Robert,,,,,male,1942-09-01,,,,,
Catts1878,JWO,Catts,James Howard,James,,,,,male,,1878,1951-11-26,,,
Causley1940,4K6,Causley,Ian Raymond,Ian,,,,,male,1940-10-19,,,,,
Chalmers1978,37998,Chalmers,James Edward,James,,,,,male,1978-03-02,,,,,
Chambers1897,JWR,Chambers,Cyril,Cyril,,,,,male,1897-02-28,,1975-10-03,,,
Champion1972,HW9,Champion,Nicholas David,Nicholas,,,,,male,1972-02-27,,,,,
Chaney1914,JWV,Chaney,Frederick Charles,Frederick,Fred,,,,male,1914-10-12,,2001-12-17,,,
Chaney1941,EF4,Chaney,Frederick Michael,Frederick,,,,,male,1941-10-28,,,,,
Chanter1845,JWY,Chanter,John Moore,John,,,,,male,1845-02-11,,1931-03-09,,,
Chapman1864,JX7,Chapman,Austin,Austin,,,Later Sir Austin,,male,1864-07-10,,1926-01-12,,,
Chapman1949,FF4,Chapman,Hedley Grant Pearson,Hedley,Grant,,,,male,1949-04-27,,,,https://en.wikipedia.org/wiki/Grant_Chapman,
Charles1948,GF4,Charles,David Ernest,David,,,,,male,1948-03-02,,,,,
Charles1936,OT4,Charles,Robert Edwin,Robert,,,,,male,1936-07-24,,2016-04-17,,,
Charlesworth1952,TD4,Charlesworth,Richard Ian,Richard,,,,,male,1952-02-06,,,,,
Charlton1866,JXA,Charlton,Matthew,Matthew,,,,,male,1866-03-15,,1948-12-08,,,
Cheeseman1976,HW7,Cheeseman,Darren Leicester,Darren,,,,,male,1976-06-08,,,,,
Chester1967,IPZ,Chester,Darren Jeffrey,Darren,,,,,male,1967-09-13,,,,,
Chesters1980,249710,Chesters,Lisa Marie,Lisa,,,,,female,1980-02-11,,,,,
Chifley1885,A48,Chifley,Joseph Benedict,Joseph,Ben,,,,male,1885-09-22,,1951-06-13,,,
Child1921,HF4,Child,Gloria Joan Liles,Gloria,Joan,,,,female,1921-08-03,,2013-02-23,,,
Chipp1925,3V4,Chipp,Donald Leslie,Donald,Don,,,,male,1925-08-21,,2006-08-28,,,
Chresby1908,JUN,Chresby,Arthur Albert,Arthur,,,,,male,1908-02-06,,1985-08-25,,,
Christensen1978,230485,Christensen,George Robert,George,,,,,male,1978-06-30,,,,,
Chynoweth1941,JF4,Chynoweth,Robert Leslie,Robert,,,,,male,1941-06-07,,,,,
Ciobo1974,00AN0,Ciobo,Steven Michele,Steven,,,,,male,1974-05-29,,,,,
Clare1972,HWL,Clare,Jason Dean,Jason,,,,,male,1972-03-22,,,,,
Clarey1890,JUP,Clarey,Percy James,Percy,,,,,male,1890-01-20,,1960-05-17,,,
Clark1897,JUQ,Clark,Joseph James,Joseph,,,,,male,1897-07-29,,1992-12-09,,,
Clarke1857,JUU,Clarke,Francis,Francis,,,,,male,1857-03-25,,1939-04-18,,https://en.wikipedia.org/wiki/Francis_Clarke,
Clasby1891,JUY,Clasby,John Joseph,John,,,,,male,,1891,1932-01-15,Died before taking seat,,
Clay1900,JYJ,Clay,Lionel Daniel,Lionel,,,,,male,,1900,1965-04-16,,,
Claydon1964,248181,Claydon,Sharon Catherine,Sharon,,,,,female,1964-04-26,,,,,
Clayton1942,JYK,Clayton,Gareth,Gareth,,,,,male,1942-02-03,,2010-07-01,,,
Cleary1952,BO5,Cleary,Philip Ronald,Philip,,,,,male,1952-12-08,,,Election declared void.,,
Cleaver1917,JYO,Cleaver,Richard,Richard,,,,,male,1917-08-16,,2006-10-25,,,
Cleeland1938,KF4,Cleeland,Peter Robert,Peter,,,,,male,1938-05-31,,2007-09-16,,,
Coates1944,LF4,Coates,John,John,,,,,male,1944-03-23,,,,,
Cobb1950,00AN1,Cobb,John Kenneth,John,,,,,male,1950-02-11,,,,,
Cobb1945,MF4,Cobb,Michael Roy,Michael,,,,,male,1945-03-16,,,,,
Cockle1908,JZG,Cockle,John Simon,John,,,,,male,1908-09-29,,1966-08-03,,,
Cohen1935,NF4,Cohen,Barry,Barry,,,,,male,1935-04-03,,,,,
Coleman1974,241067,Coleman,David Bernard,David,,,,,male,1974-03-05,,,,,
Coleman1892,JZK,Coleman,Percy Edmund,Percy,,,,,male,1892-10-20,,1934-05-25,,,
Coleman1928,4V4,Coleman,William Peter,William,Peter,,,,male,1928-12-15,,2019-03-31,,https://en.wikipedia.org/wiki/Peter_Coleman,
Coles1892,JZO,Coles,Arthur William,Arthur,,,,,male,1892-08-07,,1982-06-14,,,
Collard1912,JZX,Collard,Frederick Walter,Frederick,,,,,male,1912-06-06,,1986-12-01,,,
Collins1971,HWM,Collins,Julie Maree,Julie,,,,,female,1971-07-03,,,,,
Collins1878,K07,Collins,Maurice,Maurice,,,,,male,,1878,1945-08-09,,,
Collins1886,K0D,Collins,Thomas Joseph,Thomas,,,,,male,1886-04-06,,1945-04-15,,,
Comber1919,K0I,Comber,Jack,Jack,,,,,male,1919-04-15,,1992-10-23,,,
Combet1958,YW6,Combet,Gregory Ivan,Gregory,,,,,male,1958-04-28,,,,,
Conelan1895,K0K,Conelan,William Patrick,William,,,,,male,1895-12-23,,1983-02-28,,,
Connolly1939,QF4,Connolly,David Miles,David,,,,,male,1939-07-20,,,,,
Connor1907,K0O,Connor,Reginald Francis Xavier,Reginald,Rex,,,,male,1907-01-20,,1977-08-22,,,
Conquest1930,K17,Conquest,Bryan Joseph,Bryan,,,,,male,1930-07-20,,,,,
Conroy1863,K4E,Conroy,Alfred Hugh Beresford,Alfred,,,,,male,1863-04-07,,1920-11-28,,,
Conroy1979,249127,Conroy,Patrick Martin,Patrick,,,,,male,1979-05-10,,,,,
Considine1885,K4F,Considine,Michael Patrick,Michael,,,,,male,,1885,1959-11-02,,,
Cook1866,K4I,Cook,James Newton Haxton Hume,James,,,,,male,1866-09-23,,1942-08-07,,,
Cook1860,F4S,Cook,Joseph,Joseph,,,Later Sir Joseph,,male,1860-12-07,,1947-07-30,,https://en.wikipedia.org/wiki/Joseph_Cook,
Cook1868,K4M,Cook,Robert,Robert,,,,,male,1868-04-18,,1930-05-21,,,
Cooke1938,K4O,Cooke,Nelson Marshall,Nelson,,,,,male,1938-03-04,,,,,
Cooke1847,K4P,Cooke,Samuel Winter,Samuel,,,,,male,1847-03-12,,1929-06-26,,,
Coon1869,K5J,Coon,Jabez,Jabez,,,,,male,,1869,1935-04-15,,,
Cope1907,K5L,Cope,James Francis,James,,,,,male,1907-11-26,,1999-02-03,,,
Corbett1908,K5O,Corbett,James,James,,,,,male,1908-07-17,,2005-03-03,,,
Corboy1896,K5P,Corboy,Edwin Wilkie,Edwin,,,,,male,1896-08-24,,1950-08-06,,,
Corcoran1951,009CW,Corcoran,Ann Kathleen,Ann,,,,,female,1951-09-21,,,,,
Corser1882,K6Q,Corser,Bernard Henry,Bernard,,,,,male,,1882,1967-12-15,,,
Corser1852,K6S,Corser,Edward Bernard Cresset,Edward,,,,,male,,1852,1928-07-31,,,
Costa1900,K6T,Costa,Dominic Eric,Dominic,,,,,male,1900-12-10,,1976-09-23,,,
Costello1957,CT4,Costello,Peter Howard,Peter,,,,,male,1957-08-14,,,,,
Cotter1935,K6U,Cotter,John Francis,John,,,,,male,1935-03-21,,,,,
Coulton1958,HWN,Coulton,Mark Maclean,Mark,,,,,male,1958-02-03,,,,,
Courtice1950,UF4,Courtice,Brian William,Brian,,,,,male,1950-04-17,,,,,
Courtnay1903,K6V,Courtnay,Frank,Frank,,,,,male,1903-06-06,,1980-03-31,,,
Coutts1908,K6X,Coutts,Wilfred Charles,Wilfred,,,,,male,1908-06-10,,1997-11-04,,,
Cowan1926,VF4,Cowan,David Bruce,David,,,,,male,1926-01-15,,2011-04-07,,,
Cox1954,83U,Cox,David Alexander,David,,,,,male,1954-08-01,,,,,
Cramer1897,K7J,Cramer,John Oscar,John,,,Later Sir John,,male,1897-02-18,,1994-05-18,,,
Crawford1947,WF4,Crawford,Mary Catherine,Mary,,,,,female,1947-04-12,,,,,
Crean1916,JAG,Crean,Frank,Frank,,,,,male,1916-02-28,,2008-12-02,,,
Crean1949,DT4,Crean,Simon Findlay,Simon,,,,,male,1949-02-26,,,,,
Cremean1907,K7O,Cremean,John Lawrence,John,,,,,male,1907-01-26,,1982-08-11,,,
Crewther1983,248969,Crewther,Christopher John,Christopher,Chris,,,,male,1983-08-06,,,,https://en.wikipedia.org/wiki/Chris_Crewther,
Crook1959,M3K,Crook,Anthony John,Anthony,,,,,male,1959-06-23,,,,,
Crosio1939,7T4,Crosio,Janice Anne,Janice,,,,,female,1939-01-03,,,,,
Cross1929,YF4,Cross,Manfred Douglas,Manfred,,,,,male,1929-08-12,,,,,
Crouch1868,K7U,Crouch,Richard Armstrong,Richard,,,,,male,1868-06-19,,1949-04-08,,,
Cruickshank1853,K7X,Cruickshank,George Alexander,George,,,,,male,,1853,1904-04-12,,,
Culley1877,K7Z,Culley,Charles Ernest,Charles,,,,,male,1877-04-16,,1949-06-10,,,
