ministry,ministry_number,ministry_party,ministry_title,uniqueID,ministry_name,ministry_from,ministry_to,ministry_assistant_minister_or_parliamentary_secretary,ministry_comment
Hughes,14,Nationalist,Minister for Home and Territories,Glynn1855,"Glynn, PMcM",1918-01-10,1920-02-03,,
Hughes,14,Nationalist,Minister for Home and Territories,Poynton1853,"Poynton, A",1920-02-04,1921-12-21,,
Hughes,14,Nationalist,Minister for Home and Territories,Pearce1870,"Pearce, Senator GF",1921-12-21,1923-02-09,,
Hughes,14,Nationalist,Minister for Trade and Customs,Jensen1865,"Jensen, JA",1918-01-10,1918-12-13,,
Hughes,14,Nationalist,Minister for Trade and Customs,Watt1871,"Watt, WA",1918-12-13,1919-01-17,,
Hughes,14,Nationalist,Minister for Trade and Customs,MassyGreene1874,"Massy-Greene, W",1919-01-17,1921-12-21,,
Hughes,14,Nationalist,Minister for Trade and Customs,Rodgers1875,"Rodgers, AS",1921-12-21,1923-02-05,,
Hughes,14,Nationalist,Postmaster-General,Webster1860,"Webster, W",1918-01-10,1920-02-03,,
Hughes,14,Nationalist,Postmaster-General,Wise1853,"Wise, GH",1920-02-04,1921-12-21,,
Hughes,14,Nationalist,Postmaster-General,Poynton1853,"Poynton, A",1921-12-21,1923-02-05,,
Hughes,14,Nationalist,Minister for Health,MassyGreene1874,"Massy-Greene, W",1921-03-10,1923-02-05,,
Hughes,14,Nationalist,Vice-President of Executive Council,Groom1867,"Groom, LE",1918-01-10,1918-03-27,,
Hughes,14,Nationalist,Vice-President of Executive Council,Russell1878,"Russell, Senator EJ",1918-03-27,1921-12-21,,
Hughes,14,Nationalist,Vice-President of Executive Council,Earle1865,"Earle, Senator J",1921-12-21,1923-02-05,,
Hughes,14,Nationalist,Honorary Minister,Groom1867,"Groom, LE",1918-01-10,1917-11-16,,
Hughes,14,Nationalist,Honorary Minister,Russell1878,"Russell, Senator EJ",1918-01-10,1919-01-17,,
Hughes,14,Nationalist,Honorary Minister,MassyGreene1874,"Massy-Greene, W",1918-03-27,1919-01-17,,
Hughes,14,Nationalist,Honorary Minister,Orchard1871,"Orchard, RB",1918-03-27,1919-01-31,,
Hughes,14,Nationalist,Honorary Minister,Poynton1853,"Poynton, A",1918-03-27,1920-02-04,,
Hughes,14,Nationalist,Honorary Minister,Wise1853,"Wise, GH",1918-03-27,1920-02-04,,
Hughes,14,Nationalist,Honorary Minister,SmithWilliam1869,"Smith, WHL",1920-02-04,1920-07-28,,
Hughes,14,Nationalist,Assistant Minister for Defence,MassyGreene1874,"Massy-Greene, W",1921-12-21,1923-02-05,1,
Hughes,14,Nationalist,Assistant Minister for Defence,Ryrie1865,"Ryrie, GdeL",1920-02-04,1921-12-21,1,
Hughes,14,Nationalist,Assistant Minister for Repatriation,Rodgers1875,"Rodgers, AS",1920-07-28,1921-12-21,1,
Hughes,14,Nationalist,Assistant Minister for Repatriation,Lamond1865,"Lamond, H",1921-12-21,1923-02-09,1,
Bruce-Page,15,Nationalist-CP Coalition,Prime Minister,Bruce1883,"Bruce, SM",1923-02-09,1929-10-22,,
Bruce-Page,15,Nationalist-CP Coalition,Minister for External Affairs,Bruce1883,"Bruce, SM",1923-02-09,1929-10-22,,
Bruce-Page,15,Nationalist-CP Coalition,Treasurer,Page1880,"Page, ECG (CP)",1923-02-09,1929-10-22,,
Bruce-Page,15,Nationalist-CP Coalition,Minister for Home and Territories,Pearce1870,"Pearce, Senator GF",1923-02-09,1926-06-18,,
Bruce-Page,15,Nationalist-CP Coalition,Minister for Home and Territories,Glasgow1876,"Glasgow, Senator TW",1926-06-18,1927-04-02,,
Bruce-Page,15,Nationalist-CP Coalition,Minister for Home and Territories,Marr1880,"Marr, CWC",1927-04-02,1928-02-24,,
Bruce-Page,15,Nationalist-CP Coalition,Minister for Home and Territories,Howse1863,"Howse, NR",1928-02-24,1928-11-29,,
Bruce-Page,15,Nationalist-CP Coalition,Minister for Home and Territories,Abbott1886,"Abbott, CLA (CP)",1928-11-29,1928-12-10,,
Bruce-Page,15,Nationalist-CP Coalition,Minister for Home Affairs,Abbott1886,"Abbott, CLA (CP)",1928-12-10,1929-10-22,,
Bruce-Page,15,Nationalist-CP Coalition,Attorney-General,Groom1867,"Groom, LE",1923-02-09,1925-12-18,,
Bruce-Page,15,Nationalist-CP Coalition,Attorney-General,Latham1877,"Latham, JG",1925-12-18,1929-10-22,,
Bruce-Page,15,Nationalist-CP Coalition,Minister for Industry,Latham1877,"Latham, JG",1928-12-10,1929-10-22,,
Bruce-Page,15,Nationalist-CP Coalition,Postmaster-General,Gibson1869,"Gibson, WG (CP)",1923-02-09,1929-10-22,,
Bruce-Page,15,Nationalist-CP Coalition,Minister for Trade and Customs,Chapman1864,"Chapman, A",1923-02-09,1924-05-26,,
Bruce-Page,15,Nationalist-CP Coalition,Minister for Trade and Customs,Groom1867,"Groom, LE",1924-05-29,1924-06-13,,
Bruce-Page,15,Nationalist-CP Coalition,Minister for Trade and Customs,Pratten1865,"Pratten, HE",1924-06-13,1928-05-07,,
Bruce-Page,15,Nationalist-CP Coalition,Minister for Trade and Customs,Bruce1883,"Bruce, SM",1928-05-08,1928-11-24,,
Bruce-Page,15,Nationalist-CP Coalition,Minister for Trade and Customs,Gullett1878,"Gullett, HS",1928-11-24,1929-10-22,,
Bruce-Page,15,Nationalist-CP Coalition,Minister for Works and Railways,Stewart1885,"Stewart, PG (CP)",1923-02-09,1924-08-05,,
Bruce-Page,15,Nationalist-CP Coalition,Minister for Works and Railways,Hill1866,"Hill, WC (CP)",1924-08-08,1928-11-29,,
Bruce-Page,15,Nationalist-CP Coalition,Minister for Works and Railways,Gibson1869,"Gibson, WG (CP)",1928-12-10,1929-10-22,,
Bruce-Page,15,Nationalist-CP Coalition,Minister for Defence,Bowden1871,"Bowden, EK",1923-02-09,1925-01-16,,
Bruce-Page,15,Nationalist-CP Coalition,Minister for Defence,Howse1863,"Howse, NR",1925-01-16,1927-04-02,,
Bruce-Page,15,Nationalist-CP Coalition,Minister for Defence,Glasgow1876,"Glasgow, Senator TW",1927-04-02,1929-10-22,,
Bruce-Page,15,Nationalist-CP Coalition,Minister for Health,Chapman1864,"Chapman, A",1923-02-09,1924-05-26,,
Bruce-Page,15,Nationalist-CP Coalition,Minister for Health,Groom1867,"Groom, LE",1924-05-29,1924-06-13,,
Bruce-Page,15,Nationalist-CP Coalition,Minister for Health,Pratten1865,"Pratten, HE",1924-06-13,1925-01-16,,
Bruce-Page,15,Nationalist-CP Coalition,Minister for Health,Howse1863,"Howse, NR",1925-01-16,1927-04-02,,
Bruce-Page,15,Nationalist-CP Coalition,Minister for Health,Bruce1883,"Bruce, SM",1927-04-02,1928-02-24,,
Bruce-Page,15,Nationalist-CP Coalition,Minister for Health,Howse1863,"Howse, NR",1928-02-24,1929-10-22,,
Bruce-Page,15,Nationalist-CP Coalition,Minister for Markets and Migration,Wilson1877,"Wilson, Senator RV",1925-01-16,1926-06-18,,
Bruce-Page,15,Nationalist-CP Coalition,Minister for Markets and Migration,Paterson1882,"Paterson, T (CP)",1926-06-18,1928-01-19,,
Bruce-Page,15,Nationalist-CP Coalition,Minister for Markets,Paterson1882,"Paterson, T (CP)",1928-01-19,1928-12-10,,
Bruce-Page,15,Nationalist-CP Coalition,Minister for Markets and Transport,Paterson1882,"Paterson, T (CP)",1928-12-10,1929-10-22,,
Bruce-Page,15,Nationalist-CP Coalition,Vice-President of Executive Council,Atkinson1867,"Atkinson, L",1923-02-09,1926-06-18,,
Bruce-Page,15,Nationalist-CP Coalition,Vice-President of Executive Council,Pearce1870,"Pearce, Senator GF",1926-06-18,1929-10-22,,
Bruce-Page,15,Nationalist-CP Coalition,Honorary Minister,Wilson1877,"Wilson, Senator RV",1923-02-09,1925-01-16,,
Bruce-Page,15,Nationalist-CP Coalition,Honorary Minister,Crawford1865,"Crawford, Senator TW",1923-02-14,1928-11-29,,
Bruce-Page,15,Nationalist-CP Coalition,Honorary Minister,Marr1880,"Marr, CWC",1925-01-16,1927-04-02,,
Bruce-Page,15,Nationalist-CP Coalition,Honorary Minister,McLachlan1872,"McLachlan, Senator AJ",1926-08-29,1929-10-22,,
