uniqueID,surname,allOtherNames,firstName,commonName,displayName,earlierOrLaterNames,title,gender,birthDate,birthYear,birthPlace,deathDate,member,senator,wasPrimeMinister,wikidataID,wikipedia,adb,comments
Arkins1888,Arkins,James Guy Dalley,James,Guy,"Arkins, Guy",,,male,1888-10-14,,Millthorpe,1980-08-02,0,1,,Q5622056,https://en.wikipedia.org/wiki/Guy_Arkins,,"NSW and Federal parliaments disagree on year of birth. I've gone with NSW, as I've not been burned by them yet, although to be fair I've spent far less time in their archive. It's either 1888 or 1887. https://www.parliament.nsw.gov.au/members/Pages/Member-details.aspx?pk=1472 vs https://biography.senate.gov.au/arkins-james-guy-dalley/"
Armitage1920,Armitage,John Lindsay,John,,"Armitage, John",,,male,1920-11-11,,Sydney,2009-04-13,1,0,,Q6219377,https://en.wikipedia.org/wiki/John_Armitage_(politician),,
Armstrong1908,Armstrong,John Ignatius,John,,"Armstrong, John",,,male,1908-07-10,,Ultimo,1977-03-10,0,1,,Q6219385,https://en.wikipedia.org/wiki/John_Armstrong_(Australian_politician),,
Armstrong1909,Armstrong,Adam Alexander,Adam,Bill,"Armstrong, Bill",,,male,1909-07-01,,Deniliquin,1982-02-22,1,0,,Q4907944,https://en.wikipedia.org/wiki/Bill_Armstrong_(Australian_politician),,
Arnold1902,Arnold,James Jarvist,James,,"Arnold, James",,,male,1902-04-12,,Wallaroo,1967-10-29,0,1,,Q6128848,https://en.wikipedia.org/wiki/James_Arnold_(Australian_politician),,
Arthur1875,Arthur,John Andrew,John,,"Arthur, John",,,male,1875-08-15,,Castlemaine,1914-12-09,1,0,,Q1699172,https://en.wikipedia.org/wiki/John_Arthur_(politician),,
Arthur1883,Arthur,Thomas Christopher,Thomas,,"Arthur, Thomas",,,male,1883-05-11,,Forbes,1953-06-06,0,1,,Q7814805,https://en.wikipedia.org/wiki/Tom_Arthur_(Australian_politician),,
Arthur1918,Arthur,William Tevlin,William,Bill,"Arthur, Bill",,,male,1918-04-16,,Sydney,1982-02-28,1,0,,Q8004572,https://en.wikipedia.org/wiki/Bill_Arthur,,Need to double-check this death date.
Ashley1881,Ashley,William Patrick,William,Bill,"Ashley, Bill",,,male,1881-09-20,,Hay,1958-06-27,0,1,,Q4907953,https://en.wikipedia.org/wiki/Bill_Ashley_(politician),,
AshleyBrown1915,Ashley-Brown,Alfred,Alfred,,"Ashley-Brown, Alfred",,,male,1915-10-05,,Sydney,1993-02-05,1,0,,Q4722247,https://en.wikipedia.org/wiki/Alfred_Ashley-Brown,,
Askew1963,Askew,Wendy,Wendy,,"Askew, Wendy",nee Bushby; formerly Summers,,female,1963-03-16,,Launceston,,0,1,,Q61983633,https://en.wikipedia.org/wiki/Wendy_Askew,,
Aston1916,Aston,William John,William,,"Aston, William",Later Sir William,,male,1916-09-19,,Sydney,1997-05-21,1,0,,Q8004641,https://en.wikipedia.org/wiki/William_Aston,,
Atkinson1867,Atkinson,Llewellyn,Llewellyn,,"Atkinson, Llewellyn",,,male,1867-12-18,,Launceston,1945-11-01,1,0,,Q15995654,https://en.wikipedia.org/wiki/Llewellyn_Atkinson,,
Atkinson1948,Atkinson,Rodney Alexander,Rodney,Rod,"Atkinson, Rod",,,male,1948-08-07,,Adelaide,,1,0,,Q7356109,https://en.wikipedia.org/wiki/Rod_Atkinson,,
Aulich1945,Aulich,Terrence Gordon,Terrence,Terry,"Aulich, Terry",,,male,1945-10-05,,Bathurst,,0,1,,Q7704068,https://en.wikipedia.org/wiki/Terry_Aulich,,
Aylett1900,Aylett,William Edward,William,Bill,"Aylett, Bill",,,male,1900-11-15,,Wynyard,1976-08-10,0,1,,Q4907976,https://en.wikipedia.org/wiki/Bill_Aylett,,
Ayres,Ayres,Timothy,Timothy,Tim,"Ayres, Tim",,,male,,,,,0,1,,Q64152293,https://en.wikipedia.org/wiki/Tim_Ayres,,
Back1950,Back,Christopher John,Christopher,,"Back, Christopher",,,male,1950-02-11,,Perth,,0,1,,Q5105780,https://en.wikipedia.org/wiki/Chris_Back,,
Badman1885,Badman,Albert Oliver,Albert,,"Badman, Albert",,,male,1885-12-18,,Yacka,1977-04-24,1,1,,Q7087397,https://en.wikipedia.org/wiki/Oliver_Badman,,
Bailey1946,Bailey,Frances Esther,Frances,Fran,"Bailey, Fran",,,female,1946-05-21,,Brisbane,,1,0,,Q5478100,https://en.wikipedia.org/wiki/Fran_Bailey,,
Baillieu1937,Baillieu,Marshall,Marshall,,"Baillieu, Marshall",,,male,1937-06-06,,Melbourne,,1,0,,Q16104603,https://en.wikipedia.org/wiki/Marshall_Baillieu,,
Baird1942,Baird,Bruce George,Bruce,,"Baird, Bruce",,,male,1942-02-28,,Sydney,,1,0,,Q4977100,https://en.wikipedia.org/wiki/Bruce_Baird,,
Baker1841,Baker,Richard Chaffey,Richard,,"Baker, Richard",Sir,,male,1841-06-22,,North Adelaide,1911-03-18,0,1,,Q7323916,https://en.wikipedia.org/wiki/Richard_Baker_(Australian_politician),,
Baker1873,Baker,Francis Patrick,Francis,Francis Patrick,"Baker, Francis Patrick",,,male,1873-05-30,,Leyburn,1959-06-02,1,0,,Q5482147,https://en.wikipedia.org/wiki/Francis_Patrick_Baker,,
Baker1903,Baker,Francis Matthew John,Francis,Francis Matthew,"Baker, Francis Matthew",,,male,,1903,Bundaberg,1939-03-28,1,0,,Q5481881,https://en.wikipedia.org/wiki/Francis_Matthew_John_Baker,,
Baker1958,Baker,Mark Horden,Mark,,"Baker, Mark",,,male,1958-12-31,,Latrobe,,1,0,,Q6766644,https://en.wikipedia.org/wiki/Mark_Baker_(Australian_politician),,
Bakhap1866,Bakhap,Thomas Jerome Kingston,Thomas,,"Bakhap, Thomas",,,male,1866-10-29,,Ballarat,1923-08-18,0,1,,Q7787334,https://en.wikipedia.org/wiki/Thomas_Bakhap,,
Baldwin1951,Baldwin,Peter Jeremy,Peter,,"Baldwin, Peter",,,male,1951-04-12,,Aldershot,,1,0,,Q7172656,https://en.wikipedia.org/wiki/Peter_Baldwin_(politician),,
Baldwin1955,Baldwin,Robert Charles,Robert,Bob,"Baldwin, Bob",,,male,1955-03-09,,Gloucester,,1,0,,Q4931731,https://en.wikipedia.org/wiki/Bob_Baldwin,,
Bamford1849,Bamford,Frederick William,Frederick,,"Bamford, Frederick",,,male,1849-02-11,,Dubbo,1934-09-10,1,0,,Q5494524,https://en.wikipedia.org/wiki/Fred_Bamford,,
Bandidt1906,Bandidt,Henry Norman Charles,Henry,,"Bandidt, Henry",,,male,1906-10-12,,,1990-01-06,1,0,,Q5717744,https://en.wikipedia.org/wiki/Henry_Bandidt,,
Bandt1972,Bandt,Adam Paul,Adam,,"Bandt, Adam",,,male,1972-03-11,,Adelaide,,1,0,,Q4678672,https://en.wikipedia.org/wiki/Adam_Bandt,,
Banks1962,Banks,Julia Helen,Julia,,"Banks, Julia",,,female,1962-09-18,,Melbourne,,1,0,,Q25753048,https://en.wikipedia.org/wiki/Julia_Banks,,
Barker1846,Barker,Stephen,Stephen,,"Barker, Stephen",,,male,,1846,Sussex,1924-06-21,0,1,,Q7608649,https://en.wikipedia.org/wiki/Stephen_Barker_(politician),http://adb.anu.edu.au/biography/barker-stephen-5130,
Barnard1890,Barnard,Herbert Claude,Herbert,Claude,"Barnard, Claude",,,male,1890-10-16,,Mole Creek,1957-12-06,1,0,,Q5128701,https://en.wikipedia.org/wiki/Claude_Barnard,http://adb.anu.edu.au/biography/barnard-herbert-claude-9436,
Barnard1919,Barnard,Lance Herbert,Lance,,"Barnard, Lance",,,male,1919-05-01,,Launceston,1997-08-06,1,0,,Q3216921,https://en.wikipedia.org/wiki/Lance_Barnard,,
Barnes1868,Barnes,John,John,,"Barnes, John",,,male,1868-07-17,,Hamilton,1938-01-31,0,1,,Q6220757,https://en.wikipedia.org/wiki/John_Barnes_(Australian_politician),,
Barnes1901,Barnes,Charles Edward,Charles,Ced,"Barnes, Ced",,,male,1901-11-13,,Einasleigh,1998-10-24,1,0,,Q5075430,https://en.wikipedia.org/wiki/Charles_Barnes,,
Barnett1962,Barnett,Guy,Guy,,"Barnett, Guy",,,male,1962-04-05,,Launceston,,0,1,,Q5622071,https://en.wikipedia.org/wiki/Guy_Barnett_(Australian_politician),,
Barresi1955,Barresi,Phillip Anthony,Phillip,Phil,"Barresi, Phil",,,male,1955-08-08,,Patti,,1,0,,Q7181685,https://en.wikipedia.org/wiki/Phil_Barresi,,
Barrett1858,Barrett,John George,John,,"Barrett, John",,,male,1858-12-17,,Carlton,1928-05-19,0,1,,Q6220847,https://en.wikipedia.org/wiki/John_Barrett_(Australian_politician),,
Bartlett1949,Bartlett,Kerry Joseph,Kerry,,"Bartlett, Kerry",,,male,1949-04-15,,Sydney,,1,0,,Q6394456,https://en.wikipedia.org/wiki/Kerry_Bartlett,,
Bartlett1964,Bartlett,Andrew John Julian,Andrew,,"Bartlett, Andrew",,,male,1964-08-04,,Brisbane,,0,1,,Q16152123,https://en.wikipedia.org/wiki/Andrew_Bartlett,,
Barton1849,Barton,Edmund,Edmund,,"Barton, Edmund",Later Sir Edmund,,male,1849-01-18,,Glebe,1920-01-07,1,0,1,Q23342,https://en.wikipedia.org/wiki/Edmund_Barton,,
Barwell1877,Barwell,Henry Newman,Henry,,"Barwell, Henry",Sir,,male,1877-02-26,,Adelaide,1959-09-30,0,1,,Q5717859,https://en.wikipedia.org/wiki/Henry_Barwell,,
Barwick1903,Barwick,Garfield Edward John,Garfield,,"Barwick, Garfield",,Sir,male,1903-06-22,,Sydney,1997-07-13,1,0,,Q1445155,https://en.wikipedia.org/wiki/Garfield_Barwick,,
Batchelor1865,Batchelor,Egerton Lee,Egerton,Lee,"Batchelor, Lee",,,male,1865-04-10,,Adelaide,1911-10-08,1,0,,Q1811712,https://en.wikipedia.org/wiki/Lee_Batchelor,,
Bate1906,Bate,Henry Jefferson,Henry,Jeff,"Bate, Jeff",,,male,1906-03-05,,Tilba,1984-04-15,1,0,,Q6173310,https://en.wikipedia.org/wiki/Jeff_Bate,,
Baume1930,Baume,Michael Ehrenfried,Michael,,"Baume, Michael",,,male,1930-07-06,,Sydney,,1,1,,Q6828506,https://en.wikipedia.org/wiki/Michael_Baume,,
Baume1935,Baume,Peter Erne,Peter,,"Baume, Peter",,,male,1935-01-30,,Sydney,,0,1,,Q7172714,https://en.wikipedia.org/wiki/Peter_Baume,,
Bayley1882,Bayley,James Garfield,James,,"Bayley, James",,,male,1882-03-26,,Franklin,1968-01-14,1,0,,Q6129507,https://en.wikipedia.org/wiki/James_Bayley_(politician),,
Beahan1937,Beahan,Michael Eamon,Michael,,"Beahan, Michael",,,male,1937-01-21,,London,,0,1,,Q6828513,https://en.wikipedia.org/wiki/Michael_Beahan,,
Beale1898,Beale,Oliver Howard,Oliver,Howard,"Beale, Howard",,,male,1898-12-10,,Tamworth,1983-10-17,1,0,,Q5919090,https://en.wikipedia.org/wiki/Howard_Beale_(politician),,
Beale1934,Beale,Julian Howard,Julian,,"Beale, Julian",,,male,1934-10-10,,Sydney,,1,0,,Q6306972,https://en.wikipedia.org/wiki/Julian_Beale,,
Beard1866,Beard,Henry Elisha,Henry,,"Beard, Henry",,,male,1866-01-20,,,1910-12-18,1,0,,Q16043445,https://en.wikipedia.org/wiki/Henry_Beard_(politician),,Need to double check birthdate. https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1011
Beasley1895,Beasley,John Albert,John,Jack,"Beasley, Jack",,,male,1895-11-09,,Werribee,1949-09-02,1,0,,Q118588,https://en.wikipedia.org/wiki/Jack_Beasley,,
Beaton1925,Beaton,Noel Lawrence,Noel,,"Beaton, Noel",,,male,1925-12-28,,Mooroopna,2004-12-18,1,0,,Q7046845,https://en.wikipedia.org/wiki/Noel_Beaton,,
Beazley1917,Beazley,Kim Edward,Kim,Kim (Sr),"Beazley, Kim (Sr)",,,male,1917-09-30,,Northam,2007-10-12,1,0,,Q2266155,https://en.wikipedia.org/wiki/Kim_Beazley_Sr.,,
Beazley1948,Beazley,Kim Christian,Kim,Kim (Jr),"Beazley, Kim (Jr)",,,male,1948-12-14,,Perth,,1,0,,Q304561,https://en.wikipedia.org/wiki/Kim_Beazley,,
Beck1882,Beck,Arthur James,Arthur,,"Beck, Arthur",,,male,1882-07-08,,Launceston,1965-11-28,1,0,,Q4797963,https://en.wikipedia.org/wiki/Arthur_Beck,,"Have a look at that birthdate - is the decade wrong? Parliamentary handbook has 82, but wikipedia has 92."
Beddall1948,Beddall,David Peter,David,,"Beddall, David",,,male,1948-11-27,,Manchester,,1,0,,Q5231244,https://en.wikipedia.org/wiki/David_Beddall,,
Beerworth1886,Beerworth,Frederick Hubert,Frederick,,"Beerworth, Frederick",,,male,1886-05-17,,Quorn,1968-05-17,0,1,,Q5494595,https://en.wikipedia.org/wiki/Fred_Beerworth,,
Bell1968,Bell,Angie Marion,Angie,,"Bell, Angie",,,female,1968-07-11,,Adelaide,,1,0,,Q64226046,https://en.wikipedia.org/wiki/Angie_Bell,,
Bell1872,Bell,George John,George,,"Bell, George",Later Sir George,,male,1872-11-29,,Sale,1944-03-05,1,0,,Q5541108,https://en.wikipedia.org/wiki/George_John_Bell,,
Bell1950,Bell,Robert John,Robert,,"Bell, Robert",,,male,1950-07-22,,Hobart,2001-09-05,0,1,,Q7341998,https://en.wikipedia.org/wiki/Robert_Bell_(Australian_politician),,
Benn1897,Benn,Archibald Malcolm,Archibald,Archie,"Benn, Archie",,,male,1897-01-20,,Branxholme,1980-04-03,0,1,,Q4786617,https://en.wikipedia.org/wiki/Archie_Benn,,
Bennett1872,Bennett,Benjamin Holland,Benjamin,,"Bennett, Benjamin",,,male,,1872,Young,1939-07-12,1,0,,Q4888277,https://en.wikipedia.org/wiki/Benjamin_Bennett_(politician),,
Bennett1874,Bennett,James,James,,"Bennett, James",,,male,,1874,,1951-11-23,1,0,,Q6129670,https://en.wikipedia.org/wiki/James_Bennett_(Australian_politician),,
Bennett1933,Bennett,Adrian Frank,Adrian,,"Bennett, Adrian",,,male,1933-01-21,,Perth,2006-05-09,1,0,,Q4684867,https://en.wikipedia.org/wiki/Adrian_Bennett,,
Benny1869,Benny,Benjamin,Benjamin,,"Benny, Benjamin",,,male,1869-10-21,,Aldinga,1935-02-10,0,1,,Q4888279,https://en.wikipedia.org/wiki/Benjamin_Benny,,
Benson1909,Benson,Samuel James,Samuel,Sam,"Benson, Sam",,,male,1909-07-12,,Cheltenham,1995-07-26,1,0,,Q7407181,https://en.wikipedia.org/wiki/Sam_Benson,,
Berinson1932,Berinson,Joseph Max,Joseph,Joe,"Berinson, Joe",,,male,1932-01-07,,Highgate,2018-06-02,1,0,,Q6208614,https://en.wikipedia.org/wiki/Joe_Berinson,,
Bernardi1969,Bernardi,Cory,Cory,,"Bernardi, Cory",,,male,1969-11-06,,Adelaide,,0,1,,Q4354299,https://en.wikipedia.org/wiki/Cory_Bernardi,,
Berry1907,Berry,Douglas Reginald,Douglas,Doug,"Berry, Doug",,,male,1907-05-03,,Esk,1957-04-17,1,0,,Q5301249,https://en.wikipedia.org/wiki/Doug_Berry_(politician),,
Bessell1923,Bessell,Eric James,Eric,,"Bessell, Eric",,,male,1923-06-06,,Launceston,1979-03-10,0,1,,Q5386130,https://en.wikipedia.org/wiki/Eric_Bessell,,
Best1856,Best,Robert Wallace,Robert,,"Best, Robert",Later Sir Robert,,male,1856-06-18,,Collingwood,1946-03-27,1,1,,Q9310734,https://en.wikipedia.org/wiki/Robert_Best_(politician),,
Bevis1955,Bevis,Archibald Ronald,Archibald,Arch,"Bevis, Arch",,,male,1955-04-10,,Brisbane,,1,0,,Q4785288,https://en.wikipedia.org/wiki/Arch_Bevis,,
Bidgood1959,Bidgood,James Mark,James,,"Bidgood, James",,,male,1959-05-26,,London,,1,0,,Q6129774,https://en.wikipedia.org/wiki/James_Bidgood_(politician),,
Billson1966,Billson,Bruce Fredrick,Bruce,,"Billson, Bruce",,,male,1966-01-26,,Albury,,1,0,,Q4977155,https://en.wikipedia.org/wiki/Bruce_Billson,,
Bilney1939,Bilney,Gordon Neil,Gordon,,"Bilney, Gordon",,,male,1939-06-21,,Renmark,2012-10-28,1,0,,Q5584883,https://en.wikipedia.org/wiki/Gordon_Bilney,,
Bilyk1959,Bilyk,Catryna Louise,Catryna,,"Bilyk, Catryna",,,female,1959-02-07,,Hobart,,0,1,,Q5053981,https://en.wikipedia.org/wiki/Catryna_Bilyk,,
Bird1906,Bird,Alan Charles,Alan,,"Bird, Alan",,,male,1906-09-28,,Launceston,1962-07-21,1,0,,Q4706185,https://en.wikipedia.org/wiki/Alan_Bird,,
Bird1962,Bird,Sharon Leah,Sharon,,"Bird, Sharon",,,female,1962-11-15,,Wollongong,,1,0,,Q7489994,https://en.wikipedia.org/wiki/Sharon_Bird,,
Birmingham1974,Birmingham,Simon John,Simon,,"Birmingham, Simon",,,male,1974-06-14,,Adelaide,,0,1,,Q7518284,https://en.wikipedia.org/wiki/Simon_Birmingham,,
Birney1928,Birney,Reginald John,Reginald,Jack,"Birney, Jack",,,male,1928-09-26,,Sydney,1995-01-01,1,0,,Q6111281,https://en.wikipedia.org/wiki/Jack_Birney,,
Birrell1913,Birrell,Frederick Ronald,Frederick,Fred,"Birrell, Fred",,,male,1913-12-07,,Adelaide,1985-07-23,1,0,,Q5494636,https://en.wikipedia.org/wiki/Fred_Birrell,,
Bishop1913,Bishop,Reginald,Reginald,Reg,"Bishop, Reg",,,male,1913-02-04,,Adelaide,1999-07-03,0,1,,Q7307733,https://en.wikipedia.org/wiki/Reg_Bishop,,
Bishop1942,Bishop,Bronwyn Kathleen,Bronwyn,,"Bishop, Bronwyn",,,female,1942-10-19,,Sydney,,1,1,,Q4974135,https://en.wikipedia.org/wiki/Bronwyn_Bishop,,
Bishop1954,Bishop,Thomas Mark,Thomas,Mark,"Bishop, Mark",,,male,1954-06-29,,Adelaide,,0,1,,Q6766745,https://en.wikipedia.org/wiki/Mark_Bishop,,
Bishop1956,Bishop,Julie Isabel,Julie,,"Bishop, Julie",,,female,1956-07-17,,Lobethal,,1,0,,Q434858,https://en.wikipedia.org/wiki/Julie_Bishop,,
BjelkePetersen1920,Bjelke-Petersen,Florence Isabel,Florence,,"Bjelke-Petersen, Florence",Lady Bjelke-Petersen,,female,1920-08-11,,Brisbane,2017-12-20,0,1,,Q5460569,https://en.wikipedia.org/wiki/Florence_Bjelke-Petersen,,
Black1952,Black,John Rees,John,,"Black, John",,,male,1952-01-26,,Sydney,,0,1,,Q15452349,https://en.wikipedia.org/wiki/John_Black_(Australian_politician),,
Blackburn1880,Blackburn,Maurice McCrae,Maurice,,"Blackburn, Maurice",,,male,1880-11-19,,Inglewood,1944-03-31,1,0,,Q6792892,https://en.wikipedia.org/wiki/Maurice_Blackburn,,
Blackburn1889,Blackburn,Doris Amelia,Doris,,"Blackburn, Doris",,,female,1889-09-18,,Melbourne,1970-12-12,1,0,,Q5297899,https://en.wikipedia.org/wiki/Doris_Blackburn,,
